Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Agricultural land (sq. km),AG.LND.AGRI.K2,Afghanistan,AFG,380400,377940,379100,379100,379100,379100,379100,380100,380100,383130,383130,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Albania,ALB,11210,11440,11873,11742.9,11743,11817,11742.81,11740.81,11740,11655.55,11363.3,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Algeria,DZA,386760,400210,414316.35,414310,414564,413602,413351.408,413388.496,413160.71,413160.71,413160.71,..
Agricultural land (sq. km),AG.LND.AGRI.K2,American Samoa,ASM,19.3,22.7,26.6,26.9,27.2,27.5,27.8,28.1,28.4,28.7,29,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Andorra,AND,230,230,188.1,188,188.1,188.2,188.2,188.34,188.001,187.773,187.562,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Angola,AGO,444560,445230,454880,456740,457890,458240,457720,457920,458770,458920,458970,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Antigua and Barbuda,ATG,90,90,90,90,90,90,90,90,90,90,90,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Argentina,ARG,1275650,1285100,1229374,1211889,1207394,1189899,1176404,1159577.597,1165577.597,1177577.597,1179577.597,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Armenia,ARM,11700,13230,16830,16807,16767,16768,16761,16773,16770,16760,16748.2,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Aruba,ABW,20,20,20,20,20,20,20,20,20,20,20,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Australia,AUS,4644370,4554690,3717750,3744230,3481190,3426020,3718370,3588950,3624770,3557750,3635190,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Austria,AUT,30239,29402,27164,27142,27184.5,26701.7,26546.2,26528.3,26512.1,26026.654,25974.594,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Azerbaijan,AZE,44462,47404,47698,47697,47698,47730,47775,47795,47797,47801,47806,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Bahamas, The",BHS,110,110,130,130,130,130,130,130,130,130,130,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bahrain,BHR,100,99,85.3,84.3,83.2,82.2,81.1,81,81,81,81,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bangladesh,BGD,103860,94000,92780,93200,94342.4,95172.1,95613.3,96273,98720,99280,100680,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Barbados,BRB,190,180,125,120,110,100,100,100,100,100,100,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belarus,BLR,93910,92520,87112,86239,85742,85327,84940,84530,83870,82810,81740,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belgium,BEL,14430,13896,13365,13313,13280,13508,13270,13540,13564.226,13646.093,13656.7,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belize,BLZ,1260,1490,1600,1600,1700,1700,1720,1720,1740,1800,1820,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Benin,BEN,22700,31950,39500,39500,39500,39500,39500,39500,39500,39500,39500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bermuda,BMU,3,4,3,3,3,3,3,3,3,3,3,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bhutan,BTN,4540,5780,5196,5256,5256,5190,5130,5130,5130,5130,5130,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bolivia,BOL,354550,371430,377380,377488.428,377498.354,377852.311,376715.465,378765.993,379954.219,380076.741,381193.672,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bosnia and Herzegovina,BIH,22000,21300,21610,21570,21760,22090,22280,22110,22160,22420,22630,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Botswana,BWA,260210,259510,258820,260040,258616,258616,258616,258616,258620,258620,258620,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Brazil,BRA,2349000,2283235,2339966,2347174,2354382,2361590,2368786,2375018.01,2381244.91,2387470.81,2393695.61,..
Agricultural land (sq. km),AG.LND.AGRI.K2,British Virgin Islands,VGB,80,70,70,70,70,70,70,70,70,70,70,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Brunei Darussalam,BRN,130,120,134,134,134,134,134,134,134,134,134,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bulgaria,BGR,61590,55820,49950,49770,50119,50210,50295.2,50300,50370,50470,50465.972,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Burkina Faso,BFA,95750,101630,117250,118500,119860,121020,122170,124130,125190,126140,127400,..
